"","model","mirt_dim","parameter","missing","bias_sq","var","mse","iw"
"188","cvae",3,"d",0.58333333,0.104955929018189,7.99008817222114e-07,0.104956728027007,1
"189","cvae",3,"theta",0.58333333,0.977676820511201,0.00743646153732937,0.98511328204853,1
"190","cvae",3,"a",0.58333333,0.225212349289079,0.00817895971826903,0.233391309007348,5
"191","cvae",3,"d",0.58333333,0.0822898344657744,0.000217507581711036,0.0825073420474854,5
"192","cvae",3,"theta",0.58333333,0.680245556242966,0.0274876660245829,0.707733222267549,5
"193","cvae",3,"a",0.58333333,0.110645702138933,0.00107531751549922,0.111721019654432,25
"194","cvae",3,"d",0.58333333,0.065725657256766,3.30476023769298e-05,0.065758704859143,25
"195","cvae",3,"theta",0.58333333,0.619420808109538,0.0156993096929191,0.635120117802457,25
"196","cvae",10,"a",0.58333333,0.307955269062795,0.000256320212518021,0.308211589275313,1
"197","cvae",10,"d",0.58333333,0.159041750576309,6.75639735657669e-07,0.159042426216045,1
"198","cvae",10,"theta",0.58333333,0.988727688911173,0.00560019286041502,0.994327881771588,1
"199","cvae",10,"a",0.58333333,0.0849423900035832,0.00840857426079932,0.0933509642643826,5
"200","cvae",10,"d",0.58333333,0.13727303386087,0.000119064661605486,0.137392098522476,5
"201","cvae",10,"theta",0.58333333,0.534492615911831,0.053165211188799,0.58765782710063,5
"202","cvae",10,"a",0.58333333,0.0389818703563767,0.0038576692362677,0.0428395395926444,25
"203","cvae",10,"d",0.58333333,0.144209493800693,0.0001279632685212,0.144337457069214,25
"204","cvae",10,"theta",0.58333333,0.488250023558879,0.025565032441536,0.513815056000415,25
"205","cvae",3,"a",0.66666667,0.633904011325857,0.0006743193511568,0.634578330677014,1
"206","cvae",3,"d",0.66666667,0.11342914285684,5.06411695761316e-07,0.113429649268536,1
"207","cvae",3,"theta",0.66666667,0.991969279653028,0.00629843298106643,0.998267712634095,1
"208","cvae",3,"a",0.66666667,0.357387813952991,0.0100893400742264,0.367477154027217,5
"209","cvae",3,"d",0.66666667,0.104419346709103,0.000129891490793384,0.104549238199896,5
"210","cvae",3,"theta",0.66666667,0.774327956572367,0.0316925412069395,0.806020497779306,5
"211","cvae",3,"a",0.66666667,0.154956298722092,0.00302933661945969,0.157985635341551,25
"212","cvae",3,"d",0.66666667,0.0810549687175533,9.59639436812853e-05,0.0811509326612346,25
"213","cvae",3,"theta",0.66666667,0.678973985414588,0.0180622222088644,0.697036207623452,25
"214","cvae",10,"a",0.66666667,0.309700851148989,0.000262270451562673,0.309963121600552,1
"215","cvae",10,"d",0.66666667,0.16614852250471,8.12410172943667e-07,0.166149334914883,1
"216","cvae",10,"theta",0.66666667,0.994449840496497,0.00541605777591021,0.999865898272407,1
"217","cvae",10,"a",0.66666667,0.122268145197124,0.00738987810321529,0.129658023300339,5
"218","cvae",10,"d",0.66666667,0.147986203760042,0.00010773305993605,0.148093936819978,5
"219","cvae",10,"theta",0.66666667,0.615732690789594,0.0508062215877116,0.666538912377306,5
"220","cvae",10,"a",0.66666667,0.0512980400442792,0.00411070089578719,0.0554087409400664,25
"221","cvae",10,"d",0.66666667,0.142918769751287,8.17066295642388e-05,0.143000476380851,25
"222","cvae",10,"theta",0.66666667,0.544948697054128,0.0263414445709153,0.571290141625043,25
"223","cvae",3,"a",0.75,0.63784130810932,0.000753564237043111,0.638594872346363,1
"224","cvae",3,"d",0.75,0.12080318597893,6.69924659275825e-07,0.120803855903589,1
"225","cvae",3,"theta",0.75,0.995217576115688,0.00597941374149474,1.00119698985718,1
"226","cvae",3,"a",0.75,0.515381670610447,0.00541800253517834,0.520799673145626,5
"227","cvae",3,"d",0.75,0.119593906484018,9.77181461042063e-06,0.119603678298629,5
"228","cvae",3,"theta",0.75,0.894624549266174,0.0274692475642039,0.922093796830378,5
"229","cvae",3,"a",0.75,0.20393739078865,0.0062176885806047,0.210155079369255,25
"230","cvae",3,"d",0.75,0.101454732575857,0.000100730408351914,0.101555462984209,25
"231","cvae",3,"theta",0.75,0.749218929355302,0.0224427615276189,0.771661690882921,25
"232","cvae",10,"a",0.75,0.310037181270958,0.000306384654034647,0.310343565924993,1
"233","cvae",10,"d",0.75,0.171279701442345,1.09658239106038e-06,0.171280798024736,1
"234","cvae",10,"theta",0.75,0.99589405711952,0.00524039617405483,1.00113445329357,1
"235","cvae",10,"a",0.75,0.193240221792007,0.00510405905257213,0.198344280844579,5
"236","cvae",10,"d",0.75,0.165316835373745,4.82286848377026e-05,0.165365064058583,5
"237","cvae",10,"theta",0.75,0.749657754866192,0.0419033377757975,0.79156109264199,5
"238","cvae",10,"a",0.75,0.0770420235205334,0.00590864245129913,0.0829506659718325,25
"239","cvae",10,"d",0.75,0.14950353804941,6.9037595869575e-05,0.14957257564528,25
"240","cvae",10,"theta",0.75,0.620142175425854,0.0316461563561949,0.651788331782049,25
"241","pvae",3,"a",0,0.433221047738916,0.00709960988612461,0.440320657625041,1
"242","pvae",3,"d",0,0.0827718633965084,0.000546273555648555,0.083318136952157,1
"243","pvae",3,"theta",0,0.742633035005944,0.0618575708626891,0.804490605868634,1
"244","pvae",3,"a",0,0.132618276886216,0.000462686032731758,0.133080962918947,5
"245","pvae",3,"d",0,0.0491437514160298,5.24370987340882e-05,0.0491961885147639,5
"246","pvae",3,"theta",0,0.489738859509613,0.0163434154667418,0.506082274976355,5
"247","pvae",3,"a",0,0.0353990281933764,0.000163147616443721,0.0355621758098201,25
